2024-10-21 09:16:05.708742 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 

2024-10-24 19:38:37.207045 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 

2024-10-25 19:39:01.152385 
Vàng miếng SJC 999.9, 8,200, 8,400 
Nhẫn Trơn PNJ 999.9, 8,200, 8,290 
Vàng Kim Bảo 999.9, 8,200, 8,290 
Vàng Phúc Lộc Tài 999.9, 8,200, 8,290 
Vàng nữ trang 999.9, 8,190, 8,270 
Vàng nữ trang 999, 8,182, 8,262 
Vàng nữ trang 99, 8,097, 8,197 
Vàng 750 (18K), 6,078, 6,218 
Vàng 585 (14K), 4,713, 4,853 
Vàng 416 (10K), 3,315, 3,455 
Vàng PNJ - Phượng Hoàng, 8,200, 8,290 
Vàng 916 (22K), 7,535, 7,585 
Vàng 650 (15.6K), 5,251, 5,391 
Vàng 680 (16.3K), 5,499, 5,639 
Vàng 610 (14.6K), 4,920, 5,060 
Vàng 375 (9K), 2,976, 3,116 
Vàng 333 (8K), 2,604, 2,744 

2024-10-26 14:00:42.680832 
Vàng miếng SJC 999.9, 8,200, 8,400 
Nhẫn Trơn PNJ 999.9, 8,210, 8,300 
Vàng Kim Bảo 999.9, 8,210, 8,300 
Vàng Phúc Lộc Tài 999.9, 8,210, 8,300 
Vàng nữ trang 999.9, 8,200, 8,280 
Vàng nữ trang 999, 8,192, 8,272 
Vàng nữ trang 99, 8,107, 8,207 
Vàng 750 (18K), 6,085, 6,225 
Vàng 585 (14K), 4,719, 4,859 
Vàng 416 (10K), 3,320, 3,460 
Vàng PNJ - Phượng Hoàng, 8,210, 8,300 
Vàng 916 (22K), 7,545, 7,595 
Vàng 650 (15.6K), 5,257, 5,397 
Vàng 680 (16.3K), 5,505, 5,645 
Vàng 610 (14.6K), 4,926, 5,066 
Vàng 375 (9K), 2,980, 3,120 
Vàng 333 (8K), 2,607, 2,747 

2024-10-27 19:38:11.346860 
Vàng miếng SJC 999.9, 8,200, 8,400 
Nhẫn Trơn PNJ 999.9, 8,220, 8,320 
Vàng Kim Bảo 999.9, 8,220, 8,320 
Vàng Phúc Lộc Tài 999.9, 8,220, 8,320 
Vàng nữ trang 999.9, 8,200, 8,280 
Vàng nữ trang 999, 8,192, 8,272 
Vàng nữ trang 99, 8,107, 8,207 
Vàng 750 (18K), 6,085, 6,225 
Vàng 585 (14K), 4,719, 4,859 
Vàng 416 (10K), 3,320, 3,460 
Vàng PNJ - Phượng Hoàng, 8,220, 8,320 
Vàng 916 (22K), 7,545, 7,595 
Vàng 650 (15.6K), 5,257, 5,397 
Vàng 680 (16.3K), 5,505, 5,645 
Vàng 610 (14.6K), 4,926, 5,066 
Vàng 375 (9K), 2,980, 3,120 
Vàng 333 (8K), 2,607, 2,747

2024-10-28 22:14:39.908382 
Vàng miếng SJC 999.9, 8,250, 8,450 
Nhẫn Trơn PNJ 999.9, 8,230, 8,330 
Vàng Kim Bảo 999.9, 8,230, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,230, 8,330 
Vàng nữ trang 999.9, 8,220, 8,300 
Vàng nữ trang 999, 8,212, 8,292 
Vàng nữ trang 99, 8,127, 8,227 
Vàng 750 (18K), 6,100, 6,240 
Vàng 585 (14K), 4,731, 4,871 
Vàng 416 (10K), 3,328, 3,468 
Vàng PNJ - Phượng Hoàng, 8,230, 8,330 
Vàng 916 (22K), 7,563, 7,613 
Vàng 650 (15.6K), 5,270, 5,410 
Vàng 680 (16.3K), 5,519, 5,659 
Vàng 610 (14.6K), 4,938, 5,078 
Vàng 375 (9K), 2,988, 3,128 
Vàng 333 (8K), 2,614, 2,754 

2024-10-29 15:35:31.868466 
Vàng miếng SJC 999.9, 8,250, 8,450 
Nhẫn Trơn PNJ 999.9, 8,230, 8,330 
Vàng Kim Bảo 999.9, 8,230, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,230, 8,330 
Vàng nữ trang 999.9, 8,220, 8,300 
Vàng nữ trang 999, 8,212, 8,292 
Vàng nữ trang 99, 8,127, 8,227 
Vàng 750 (18K), 6,100, 6,240 
Vàng 585 (14K), 4,731, 4,871 
Vàng 416 (10K), 3,328, 3,468 
Vàng PNJ - Phượng Hoàng, 8,230, 8,330 
Vàng 916 (22K), 7,563, 7,613 
Vàng 650 (15.6K), 5,270, 5,410 
Vàng 680 (16.3K), 5,519, 5,659 
Vàng 610 (14.6K), 4,938, 5,078 
Vàng 375 (9K), 2,988, 3,128 
Vàng 333 (8K), 2,614, 2,754 

2024-10-30 08:42:08.021746 
Vàng miếng SJC 999.9, 8,250, 8,450 
Nhẫn Trơn PNJ 999.9, 8,230, 8,330 
Vàng Kim Bảo 999.9, 8,230, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,230, 8,330 
Vàng nữ trang 999.9, 8,220, 8,300 
Vàng nữ trang 999, 8,212, 8,292 
Vàng nữ trang 99, 8,127, 8,227 
Vàng 750 (18K), 6,100, 6,240 
Vàng 585 (14K), 4,731, 4,871 
Vàng 416 (10K), 3,328, 3,468 
Vàng PNJ - Phượng Hoàng, 8,230, 8,330 
Vàng 916 (22K), 7,563, 7,613 
Vàng 650 (15.6K), 5,270, 5,410 
Vàng 680 (16.3K), 5,519, 5,659 
Vàng 610 (14.6K), 4,938, 5,078 
Vàng 375 (9K), 2,988, 3,128 
Vàng 333 (8K), 2,614, 2,754 

2024-11-01 20:42:43.476912 
Vàng miếng SJC 999.9, 8,400, 8,600 
Nhẫn Trơn PNJ 999.9, 8,470, 8,570 
Vàng Kim Bảo 999.9, 8,470, 8,570 
Vàng Phúc Lộc Tài 999.9, 8,470, 8,570 
Vàng nữ trang 999.9, 8,460, 8,540 
Vàng nữ trang 999, 8,452, 8,532 
Vàng nữ trang 99, 8,365, 8,465 
Vàng 750 (18K), 6,280, 6,420 
Vàng 585 (14K), 4,871, 5,011 
Vàng 416 (10K), 3,428, 3,568 
Vàng PNJ - Phượng Hoàng, 8,470, 8,570 
Vàng 916 (22K), 7,783, 7,833 
Vàng 650 (15.6K), 5,426, 5,566 
Vàng 680 (16.3K), 5,682, 5,822 
Vàng 610 (14.6K), 5,084, 5,224 
Vàng 375 (9K), 3,078, 3,218 
Vàng 333 (8K), 2,693, 2,833  

2024-11-02 07:47:07.707859
Vàng miếng SJC 999.9, 8,124, 8,378
Nhẫn Trơn PNJ 999.9, 8,171, 8,338
Vàng Kim Bảo 999.9, 8,191, 8,296
Vàng Phúc Lộc Tài 999.9, 8,173, 8,340
Vàng nữ trang 999.9, 8,198, 8,247
Vàng nữ trang 999, 8,177, 8,208
Vàng nữ trang 99, 8,071, 8,146
Vàng 750 (18K), 6,024, 6,212
Vàng 585 (14K), 4,739, 4,887
Vàng 416 (10K), 3,339, 3,480
Vàng PNJ - Phượng Hoàng, 8,183, 8,249
Vàng 916 (22K), 7,494, 7,614
Vàng 650 (15.6K), 5,233, 5,415
Vàng 680 (16.3K), 5,521, 5,606
Vàng 610 (14.6K), 4,921, 5,008
Vàng 375 (9K), 2,979, 3,066
Vàng 333 (8K), 2,551, 2,722

2024-11-03 07:47:07.707859
Vàng miếng SJC 999.9, 8,156, 8,327
Nhẫn Trơn PNJ 999.9, 8,164, 8,297
Vàng Kim Bảo 999.9, 8,210, 8,297
Vàng Phúc Lộc Tài 999.9, 8,214, 8,329
Vàng nữ trang 999.9, 8,184, 8,232
Vàng nữ trang 999, 8,181, 8,210
Vàng nữ trang 99, 8,048, 8,172
Vàng 750 (18K), 6,083, 6,218
Vàng 585 (14K), 4,711, 4,885
Vàng 416 (10K), 3,356, 3,407
Vàng PNJ - Phượng Hoàng, 8,182, 8,272
Vàng 916 (22K), 7,540, 7,571
Vàng 650 (15.6K), 5,238, 5,429
Vàng 680 (16.3K), 5,527, 5,645
Vàng 610 (14.6K), 4,941, 5,004
Vàng 375 (9K), 2,976, 3,071
Vàng 333 (8K), 2,641, 2,722

2024-11-04 07:47:07.707859
Vàng miếng SJC 999.9, 8,193, 8,302
Nhẫn Trơn PNJ 999.9, 8,200, 8,293
Vàng Kim Bảo 999.9, 8,213, 8,326
Vàng Phúc Lộc Tài 999.9, 8,212, 8,282
Vàng nữ trang 999.9, 8,165, 8,249
Vàng nữ trang 999, 8,180, 8,262
Vàng nữ trang 99, 8,119, 8,229
Vàng 750 (18K), 6,069, 6,234
Vàng 585 (14K), 4,745, 4,803
Vàng 416 (10K), 3,328, 3,412
Vàng PNJ - Phượng Hoàng, 8,141, 8,304
Vàng 916 (22K), 7,556, 7,548
Vàng 650 (15.6K), 5,275, 5,389
Vàng 680 (16.3K), 5,489, 5,589
Vàng 610 (14.6K), 4,922, 5,084
Vàng 375 (9K), 3,004, 3,096
Vàng 333 (8K), 2,628, 2,750

2024-11-05 07:47:07.707859
Vàng miếng SJC 999.9, 8,157, 8,343
Nhẫn Trơn PNJ 999.9, 8,234, 8,290
Vàng Kim Bảo 999.9, 8,167, 8,315
Vàng Phúc Lộc Tài 999.9, 8,212, 8,288
Vàng nữ trang 999.9, 8,214, 8,227
Vàng nữ trang 999, 8,141, 8,256
Vàng nữ trang 99, 8,052, 8,181
Vàng 750 (18K), 6,069, 6,208
Vàng 585 (14K), 4,738, 4,895
Vàng 416 (10K), 3,271, 3,478
Vàng PNJ - Phượng Hoàng, 8,157, 8,255
Vàng 916 (22K), 7,561, 7,564
Vàng 650 (15.6K), 5,202, 5,388
Vàng 680 (16.3K), 5,498, 5,681
Vàng 610 (14.6K), 4,876, 5,071
Vàng 375 (9K), 2,990, 3,084
Vàng 333 (8K), 2,573, 2,701

2024-11-06 07:47:07.707859
Vàng miếng SJC 999.9, 8,113, 8,376
Nhẫn Trơn PNJ 999.9, 8,221, 8,287
Vàng Kim Bảo 999.9, 8,209, 8,283
Vàng Phúc Lộc Tài 999.9, 8,237, 8,273
Vàng nữ trang 999.9, 8,196, 8,229
Vàng nữ trang 999, 8,167, 8,229
Vàng nữ trang 99, 8,134, 8,190
Vàng 750 (18K), 6,036, 6,185
Vàng 585 (14K), 4,732, 4,837
Vàng 416 (10K), 3,292, 3,471
Vàng PNJ - Phượng Hoàng, 8,164, 8,264
Vàng 916 (22K), 7,518, 7,618
Vàng 650 (15.6K), 5,283, 5,344
Vàng 680 (16.3K), 5,515, 5,634
Vàng 610 (14.6K), 4,866, 5,085
Vàng 375 (9K), 2,958, 3,141
Vàng 333 (8K), 2,573, 2,750

2024-11-07 20:25:03.290554 
Vàng miếng SJC 999.9, 8,100, 8,550 
Nhẫn Trơn PNJ 999.9, 8,250, 8,380 
Vàng Kim Bảo 999.9, 8,250, 8,380 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,380 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,380 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 

2024-11-08 23:02:21.863673 
Vàng miếng SJC 999.9, 8,200, 8,600 
Nhẫn Trơn PNJ 999.9, 8,340, 8,520 
Vàng Kim Bảo 999.9, 8,340, 8,520 
Vàng Phúc Lộc Tài 999.9, 8,340, 8,520 
Vàng nữ trang 999.9, 8,330, 8,410 
Vàng nữ trang 999, 8,322, 8,402 
Vàng nữ trang 99, 8,236, 8,336 
Vàng 750 (18K), 6,183, 6,323 
Vàng 585 (14K), 4,795, 4,935 
Vàng 416 (10K), 3,374, 3,514 
Vàng PNJ - Phượng Hoàng, 8,340, 8,520 
Vàng 916 (22K), 7,664, 7,714 
Vàng 650 (15.6K), 5,342, 5,482 
Vàng 680 (16.3K), 5,594, 5,734 
Vàng 610 (14.6K), 5,005, 5,145 
Vàng 375 (9K), 3,029, 3,169 
Vàng 333 (8K), 2,650, 2,790 

2024-11-09 22:15:08.038556 
Vàng miếng SJC 999.9, 8,200, 8,580 
Nhẫn Trơn PNJ 999.9, 8,340, 8,520 
Vàng Kim Bảo 999.9, 8,340, 8,520 
Vàng Phúc Lộc Tài 999.9, 8,340, 8,520 
Vàng nữ trang 999.9, 8,330, 8,410 
Vàng nữ trang 999, 8,322, 8,402 
Vàng nữ trang 99, 8,236, 8,336 
Vàng 750 (18K), 6,183, 6,323 
Vàng 585 (14K), 4,795, 4,935 
Vàng 416 (10K), 3,374, 3,514 
Vàng PNJ - Phượng Hoàng, 8,340, 8,520 
Vàng 916 (22K), 7,664, 7,714 
Vàng 650 (15.6K), 5,342, 5,482 
Vàng 680 (16.3K), 5,594, 5,734 
Vàng 610 (14.6K), 5,005, 5,145 
Vàng 375 (9K), 3,029, 3,169 
Vàng 333 (8K), 2,650, 2,790 

2024-11-10 15:33:33.216080 
Vàng miếng SJC 999.9, 8,200, 8,580 
Nhẫn Trơn PNJ 999.9, 8,340, 8,520 
Vàng Kim Bảo 999.9, 8,340, 8,520 
Vàng Phúc Lộc Tài 999.9, 8,340, 8,520 
Vàng nữ trang 999.9, 8,330, 8,410 
Vàng nữ trang 999, 8,322, 8,402 
Vàng nữ trang 99, 8,236, 8,336 
Vàng 750 (18K), 6,183, 6,323 
Vàng 585 (14K), 4,795, 4,935 
Vàng 416 (10K), 3,374, 3,514 
Vàng PNJ - Phượng Hoàng, 8,340, 8,520 
Vàng 916 (22K), 7,664, 7,714 
Vàng 650 (15.6K), 5,342, 5,482 
Vàng 680 (16.3K), 5,594, 5,734 
Vàng 610 (14.6K), 5,005, 5,145 
Vàng 375 (9K), 3,029, 3,169 
Vàng 333 (8K), 2,650, 2,790 

2024-11-11 22:40:38.596654 
Vàng miếng SJC 999.9, 8,100, 8,350 
Nhẫn Trơn PNJ 999.9, 8,200, 8,420 
Vàng Kim Bảo 999.9, 8,122, 8,320 
Vàng Phúc Lộc Tài 999.9, 8,120, 8,280 
Vàng nữ trang 999.9, 8,110, 8,190 
Vàng nữ trang 999, 8,102, 8,182 
Vàng nữ trang 99, 8,018, 8,118 
Vàng 750 (18K), 6,028, 6,268 
Vàng 585 (14K), 4,606, 4,806 
Vàng 416 (10K), 3,282, 3,422 
Vàng PNJ - Phượng Hoàng, 8,120, 8,280 
Vàng 916 (22K), 7,462, 7,512 
Vàng 650 (15.6K), 5,199, 5,339 
Vàng 680 (16.3K), 5,444, 5,584 
Vàng 610 (14.6K), 4,811, 5,039 
Vàng 375 (9K), 2,950, 3,018
Vàng 333 (8K), 2,600, 2,726

2024-11-12 22:40:38.596654 
Vàng miếng SJC 999.9, 8,050, 8,400 
Nhẫn Trơn PNJ 999.9, 8,120, 8,280 
Vàng Kim Bảo 999.9, 8,120, 8,280 
Vàng Phúc Lộc Tài 999.9, 8,120, 8,280 
Vàng nữ trang 999.9, 8,110, 8,190 
Vàng nữ trang 999, 8,102, 8,182 
Vàng nữ trang 99, 8,018, 8,118 
Vàng 750 (18K), 6,018, 6,158 
Vàng 585 (14K), 4,666, 4,806 
Vàng 416 (10K), 3,282, 3,422 
Vàng PNJ - Phượng Hoàng, 8,120, 8,280 
Vàng 916 (22K), 7,462, 7,512 
Vàng 650 (15.6K), 5,199, 5,339 
Vàng 680 (16.3K), 5,444, 5,584 
Vàng 610 (14.6K), 4,871, 5,011 
Vàng 375 (9K), 2,946, 3,086 
Vàng 333 (8K), 2,578, 2,718 

2024-11-13 07:46:10.963774 
Vàng miếng SJC 999.9, 8,050, 8,400 
Nhẫn Trơn PNJ 999.9, 8,120, 8,280 
Vàng Kim Bảo 999.9, 8,120, 8,280 
Vàng Phúc Lộc Tài 999.9, 8,120, 8,280 
Vàng nữ trang 999.9, 8,110, 8,190 
Vàng nữ trang 999, 8,102, 8,182 
Vàng nữ trang 99, 8,018, 8,118 
Vàng 750 (18K), 6,018, 6,158 
Vàng 585 (14K), 4,666, 4,806 
Vàng 416 (10K), 3,282, 3,422 
Vàng PNJ - Phượng Hoàng, 8,120, 8,280 
Vàng 916 (22K), 7,462, 7,512 
Vàng 650 (15.6K), 5,199, 5,339 
Vàng 680 (16.3K), 5,444, 5,584 
Vàng 610 (14.6K), 4,871, 5,011 
Vàng 375 (9K), 2,946, 3,086 
Vàng 333 (8K), 2,578, 2,718

2024-11-14 22:36:47.194369 
Vàng miếng SJC 999.9, 8,000, 8,350 
Nhẫn Trơn PNJ 999.9, 8,000, 8,190 
Vàng Kim Bảo 999.9, 8,000, 8,190 
Vàng Phúc Lộc Tài 999.9, 8,000, 8,190 
Vàng nữ trang 999.9, 7,990, 8,070 
Vàng nữ trang 999, 7,982, 8,062 
Vàng nữ trang 99, 7,899, 7,999 
Vàng 750 (18K), 5,928, 6,068 
Vàng 585 (14K), 4,596, 4,736 
Vàng 416 (10K), 3,232, 3,372 
Vàng PNJ - Phượng Hoàng, 8,000, 8,190 
Vàng 916 (22K), 7,352, 7,402 
Vàng 650 (15.6K), 5,121, 5,261 
Vàng 680 (16.3K), 5,363, 5,503 
Vàng 610 (14.6K), 4,798, 4,938 
Vàng 375 (9K), 2,901, 3,041 
Vàng 333 (8K), 2,538, 2,678 

2024-11-15 20:42:25.647231 
Vàng miếng SJC 999.9, 8,000, 8,350 
Nhẫn Trơn PNJ 999.9, 8,000, 8,190 
Vàng Kim Bảo 999.9, 8,000, 8,190 
Vàng Phúc Lộc Tài 999.9, 8,000, 8,190 
Vàng nữ trang 999.9, 7,990, 8,070 
Vàng nữ trang 999, 7,982, 8,062 
Vàng nữ trang 99, 7,899, 7,999 
Vàng 750 (18K), 5,928, 6,068 
Vàng 585 (14K), 4,596, 4,736 
Vàng 416 (10K), 3,232, 3,372 
Vàng PNJ - Phượng Hoàng, 8,000, 8,190 
Vàng 916 (22K), 7,352, 7,402 
Vàng 650 (15.6K), 5,121, 5,261 
Vàng 680 (16.3K), 5,363, 5,503 
Vàng 610 (14.6K), 4,798, 4,938 
Vàng 375 (9K), 2,901, 3,041 
Vàng 333 (8K), 2,538, 2,678

2024-11-16 07:57:07.707859
Vàng miếng SJC 999.9, 8,034, 8,397
Nhẫn Trơn PNJ 999.9, 8,118, 8,224
Vàng Kim Bảo 999.9, 8,100, 8,262
Vàng Phúc Lộc Tài 999.9, 8,040, 8,258
Vàng nữ trang 999.9, 8,062, 8,198
Vàng nữ trang 999, 8,048, 8,196
Vàng nữ trang 99, 8,033, 8,101
Vàng 750 (18K), 6,032, 6,171
Vàng 585 (14K), 4,633, 4,780
Vàng 416 (10K), 3,231, 3,367
Vàng PNJ - Phượng Hoàng, 8,057, 8,227
Vàng 916 (22K), 7,445, 7,506
Vàng 650 (15.6K), 5,229, 5,328
Vàng 680 (16.3K), 5,404, 5,552
Vàng 610 (14.6K), 4,874, 4,964
Vàng 375 (9K), 2,897, 3,123
Vàng 333 (8K), 2,530, 2,718

2024-11-17 21:31:14.840765 
Vàng miếng SJC 999.9, 8,000, 8,350 
Nhẫn Trơn PNJ 999.9, 8,090, 8,260 
Vàng Kim Bảo 999.9, 8,090, 8,260 
Vàng Phúc Lộc Tài 999.9, 8,090, 8,260 
Vàng nữ trang 999.9, 8,080, 8,160 
Vàng nữ trang 999, 8,072, 8,152 
Vàng nữ trang 99, 7,988, 8,088 
Vàng 750 (18K), 5,995, 6,135 
Vàng 585 (14K), 4,649, 4,789 
Vàng 416 (10K), 3,270, 3,410 
Vàng PNJ - Phượng Hoàng, 8,090, 8,260 
Vàng 916 (22K), 7,435, 7,485 
Vàng 650 (15.6K), 5,179, 5,319 
Vàng 680 (16.3K), 5,424, 5,564 
Vàng 610 (14.6K), 4,853, 4,993 
Vàng 375 (9K), 2,935, 3,075 
Vàng 333 (8K), 2,568, 2,708 
